9.414	8.414	7.414	6.414	5.414	4.414	3.414	2.414	1.414	1.000	
9.828	8.828	7.828	6.828	5.828	-1.000	-1.000	2.000	1.000	0.000	
10.243	9.243	8.243	7.243	6.828	-1.000	3.414	2.414	1.414	1.000	
10.657	9.657	8.657	7.657	6.657	-1.000	3.828	2.828	2.414	2.000	
10.243	9.243	8.243	7.243	6.243	5.243	4.243	3.828	3.414	3.000	
10.657	9.657	8.657	7.657	6.657	5.657	5.243	4.828	4.414	4.000	
11.071	10.071	9.071	8.071	7.071	6.657	6.243	5.828	5.414	5.000	
11.485	10.485	9.485	8.485	8.071	7.657	7.243	6.828	6.414	6.000	
11.899	10.899	9.899	9.485	9.071	8.657	8.243	7.828	7.414	7.000	
12.314	11.314	10.899	10.485	10.071	9.657	9.243	8.828	8.414	8.000	
